-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653838308.6496186	-15.0	1.150589e-10	1232.61	2.37	1231.555649049039
1653838310.7530034	-16.0	1.576203e-10	1236.5774999999999	2.376	1235.5143936455715
1653838312.8509264	-17.0	-2.285335e-10	1241.3075	2.382	1240.2349313958307
1653838314.9483242	-18.0	-1.172628e-09	1246.0375	2.37	1244.9716634230956
1653838317.0717146	-19.0	3.520096e-10	1250.3149999999998	2.382	1249.2346483431204
1653838319.171105	-20.0	-1.608026e-09	1254.8925	2.364	1253.8245163684132
1653838321.269181	-21.0	-1.738311e-09	1259.165	2.364	1258.0933802321977
1653838323.3701034	-22.0	5.199065e-10	1263.895	2.382	1262.8029143596839
1653838325.4678667	-23.0	2.897535e-10	1268.7775000000001	2.364	1267.6976994576225
1653838327.5685124	-24.0	-1.938149e-09	1272.8975	2.358	1271.8196843735468
1653838329.666828	-25.0	-3.619504e-10	1277.78	2.37	1276.6870114974577
1653838331.7637453	-26.0	3.710526e-11	1282.6625	2.364	1281.5708825468316
1653838333.862518	-27.0	4.425711e-10	1287.0875	2.352	1286.0032074853063
1653838335.9605567	-28.0	-1.730977e-09	1291.665	2.364	1290.5657209163387
1653838338.079243	-29.0	3.668008e-10	1296.7024999999999	2.352	1295.6101074357534
1653838340.177832	-30.0	-1.666042e-09	1301.28	2.358	1300.1781517220427
1653838342.2762492	-31.0	-1.909594e-09	1306.315	2.364	1305.2032529478054
1653838344.3768113	-32.0	3.087886e-10	1311.1975	2.346	1310.098524043024
1653838346.475204	-33.0	-1.005466e-09	1315.7749999999999	2.358	1314.6608781984435
1653838348.5751317	-34.0	-5.595634e-10	1320.9625	2.358	1319.8439857249239
1653838350.678522	-35.0	-2.003332e-09	1325.9975	2.346	1324.886119470743
1653838352.8298259	-36.0	-1.115068e-09	1330.575	2.346	1329.4597828538774
1653838354.9561584	-37.0	-2.262674e-10	1335.7649999999999	2.34	1334.651151440063
1653838357.0549073	-38.0	-1.971604e-09	1340.495	2.352	1339.365714932369
1653838359.15496	-39.0	1.554776e-10	1345.9875	2.352	1344.8535878369796
